modelo,resposta,h,first_stage_f,first_stage_pvalor,r2_primeiro_estagio,nobs
lpiv_petroleo_brl_para_dln_diesel,dln_diesel,3,73.58915508152062,1.3894018276101941e-15,0.5937986889561231,266
lpiv_petroleo_brl_para_dln_diesel,dln_diesel,6,73.15259791937531,1.734180048129079e-15,0.5938679025222224,263
lpiv_petroleo_brl_para_dln_diesel,dln_diesel,12,70.85025179108294,4.680053169010656e-15,0.595422489760422,257
lpiv_petroleo_brl_para_dln_diesel,dln_diesel,24,66.91110222944837,2.6424416166079274e-14,0.5994060079466985,245
lpiv_petroleo_brl_para_dln_gasolina_refinaria,dln_gasolina_refinaria,3,75.0495718166815,7.934474361613139e-16,0.5954855170247024,266
lpiv_petroleo_brl_para_dln_gasolina_refinaria,dln_gasolina_refinaria,6,74.4123192518241,1.0702769982273706e-15,0.5957627879535237,263
lpiv_petroleo_brl_para_dln_gasolina_refinaria,dln_gasolina_refinaria,12,71.77441762772999,3.281986121231878e-15,0.597873623033757,257
lpiv_petroleo_brl_para_dln_gasolina_refinaria,dln_gasolina_refinaria,24,66.08440212493403,3.634802486113534e-14,0.6002341988545835,245
lpiv_petroleo_brl_para_ipca_transporte_mensal,ipca_transporte_mensal,3,74.47540501436492,9.886226606573426e-16,0.5947718039193304,266
lpiv_petroleo_brl_para_ipca_transporte_mensal,ipca_transporte_mensal,6,73.91812896972849,1.2930414907678582e-15,0.5952711633496888,263
lpiv_petroleo_brl_para_ipca_transporte_mensal,ipca_transporte_mensal,12,71.71165251658539,3.361919709649843e-15,0.597109730769255,257
lpiv_petroleo_brl_para_ipca_transporte_mensal,ipca_transporte_mensal,24,67.56330997641624,2.0561990994705444e-14,0.6035129460063313,245
lpiv_petroleo_brl_para_ipca_geral_mensal,ipca_geral_mensal,3,74.63988389762898,9.282187959425915e-16,0.6005506145999638,266
lpiv_petroleo_brl_para_ipca_geral_mensal,ipca_geral_mensal,6,74.17978572409488,1.1698150156968697e-15,0.6021572888950197,263
lpiv_petroleo_brl_para_ipca_geral_mensal,ipca_geral_mensal,12,71.62921227610549,3.4699040855267748e-15,0.6040170833803039,257
lpiv_petroleo_brl_para_ipca_geral_mensal,ipca_geral_mensal,24,67.47580936165028,2.1264980654911483e-14,0.6108087085705909,245
