h,coef,se,t,pvalor,ci_low,ci_high,nobs
0,0.013676338806034373,0.01863783147404086,0.7337945310366739,0.4630739742191803,-0.01698289396876284,0.04433557158083159,266
1,0.0623473571060579,0.03163932768939586,1.9705651687078687,0.048773633992177344,0.010300663057001704,0.11439405115511408,265
2,0.08122350813248583,0.042521550038289835,1.9101727961315058,0.05611096856799011,0.011275558319499043,0.1511714579454726,264
3,0.08656659705734894,0.04965476094169449,1.7433695262171736,0.08126908781508761,0.004884515308261506,0.16824867880643637,263
4,0.06598548509302936,0.05506243459253392,1.1983757271418676,0.23077077761882836,-0.024592219811688937,0.15656318999774765,262
5,0.09066640333530165,0.06148988818296187,1.4744928965478954,0.1403489288831867,-0.01048446272567062,0.19181726939627392,261
6,0.07043262570304405,0.06933599069405623,1.015816244896921,0.30971689872204444,-0.04362507898867844,0.18449033039476653,260
7,0.057439385061215965,0.0721335281520085,0.7962924666622814,0.4258620632001069,-0.06122026874883802,0.17609903887126996,259
8,0.056450948122278286,0.07245953674362975,0.7790685761904371,0.4359393197174751,-0.06274498982099265,0.17564688606554923,258
9,0.031781881346276845,0.07700780731229644,0.41270985963006357,0.6798192002213854,-0.09489596168245079,0.1584597243750045,257
10,0.030657484809861933,0.0857703509604037,0.35743685861813845,0.7207647875594994,-0.11043474252000215,0.17174971213972604,256
11,0.03333835617808138,0.09525922208831941,0.34997510421795996,0.7263573815339399,-0.12336306415720406,0.19003977651336684,255
12,0.007363159829609814,0.10756887325091644,0.06845065498115259,0.945426899510118,-0.16958763666814775,0.18431395632736736,254
