h,coef_iv,se_iv,t_iv,pvalor_iv,ci_low,ci_high,nobs,first_stage_f,first_stage_pvalue,metodo
0,0.9922076917911786,0.2339057305216402,4.241912712349657,2.2162289130995264e-05,0.6074327650830804,1.3769826184992768,266,128.34596113758965,6.79409209403239e-24,2SLS_manual_aproximado
1,1.922367158931467,0.41802027126512814,4.598741475176478,4.250508454063011e-06,1.2347238127003313,2.610010505162603,265,127.47305655493496,9.407080938646284e-24,2SLS_manual_aproximado
2,2.489441296317714,0.607405132986346,4.098485773536712,4.158617931980468e-05,1.490259852555175,3.4886227400802534,264,127.08531306851441,1.1138483250339158e-23,2SLS_manual_aproximado
3,2.352414259133411,0.6733432170495856,3.493633260970649,0.00047649510327058356,1.2447646670868429,3.4600638511799797,263,126.74115459841583,1.3005017028042846e-23,2SLS_manual_aproximado
4,2.2328139223077215,0.7268912176149239,3.071730498593768,0.0021282177876148127,1.0370778693311715,3.4285499752842714,262,126.2914490477835,1.5710303242153843e-23,2SLS_manual_aproximado
5,2.142586239000464,0.8940694585365683,2.396442713195342,0.016555081113383174,0.6718419797078092,3.6133304982931187,261,124.50149002062862,2.924984358480736e-23,2SLS_manual_aproximado
6,2.220245743149825,1.0921602033988524,2.0328938339268534,0.042063250138890416,0.4236422085587128,4.0168492777409375,260,123.50083378824898,4.222558706905314e-23,2SLS_manual_aproximado
7,2.399313228042233,1.1864425155587,2.022275160050538,0.043147933330556464,0.44761528994817157,4.351011166136294,259,121.60941663064231,8.141834435644296e-23,2SLS_manual_aproximado
8,2.8399886322071466,1.2504356333678692,2.2711993775785517,0.023134911096580106,0.7830220153170018,4.896955249097291,258,121.58918172219533,8.552869700933007e-23,2SLS_manual_aproximado
9,2.836178895725523,1.3199852028180175,2.1486444618247273,0.03166259432958799,0.6648032370898842,5.007554554361162,257,121.47627697385353,9.261165316204957e-23,2SLS_manual_aproximado
10,2.943558619059304,1.4339545027542226,2.0527559370995085,0.04009625395188223,0.584703462028608,5.302413776090001,256,120.96075552403299,1.1427441394572231e-22,2SLS_manual_aproximado
11,2.856948363427136,1.4432572307496874,1.9795143253452603,0.04775812838527078,0.4827902188439004,5.231106508010372,255,120.08303100775929,1.585815900331673e-22,2SLS_manual_aproximado
12,2.270793363063136,1.3674961147896398,1.6605483105247791,0.09680419759443985,0.02126225423417827,4.520324471892094,254,119.26613302231131,2.1578896679538473e-22,2SLS_manual_aproximado
