h,coef_iv,se_iv,t_iv,pvalor_iv,ci_low,ci_high,nobs,first_stage_f,first_stage_pvalue,metodo
0,1.0653446240126545,0.4477863714833294,2.379135882326236,0.01735327777272534,0.32873604292257763,1.8019532051027314,266,123.40662386346087,3.377142140578943e-23,2SLS_manual_aproximado
1,2.5113556721599415,0.8022628322453139,3.130340296497776,0.001746039096738955,1.1916333131164,3.831078031203483,265,122.40445002200744,4.885657643615739e-23,2SLS_manual_aproximado
2,2.7614908248433703,0.9945154161338848,2.7767199784378302,0.0054910463575716766,1.1255129653031297,4.397468684383611,264,121.99943424091751,5.813455253830158e-23,2SLS_manual_aproximado
3,2.2700136694775384,1.0696028537902236,2.122295823569994,0.033812903985457235,0.5105169749926206,4.029510363962456,263,121.89481288383881,6.270318319839454e-23,2SLS_manual_aproximado
4,1.4502970088531852,1.1622512694825848,1.247834308237696,0.21209174175088685,-0.46160632944566693,3.3622003471520374,262,121.38739432215871,7.715651563264707e-23,2SLS_manual_aproximado
5,1.9589050588749721,1.2351303275582763,1.5859905753812416,0.11274144750024244,-0.07288432995839234,3.9906944477083366,261,119.74478881594882,1.3768143371814016e-22,2SLS_manual_aproximado
6,2.6332660557314003,1.3686531948005216,1.9239834208805493,0.05435666162336848,0.3818315502845424,4.884700561178258,260,118.53901158027452,2.13071792073898e-22,2SLS_manual_aproximado
7,2.5037272548137857,1.4311513605953512,1.749449655536259,0.08021332395733002,0.1494832666344328,4.8579712429931385,259,116.56013276988787,4.256764236101727e-22,2SLS_manual_aproximado
8,2.4822860685597132,1.4960594915984848,1.6592161491569306,0.09707224457331738,0.021268204880205754,4.943303932239221,258,116.52677298601436,4.479710874916759e-22,2SLS_manual_aproximado
9,1.8264986487611803,1.6167656650411393,1.129723798726703,0.2585926258777914,-0.8330808702314938,4.486078167753854,257,116.29020069699659,5.0417534183027675e-22,2SLS_manual_aproximado
10,1.421980183203703,1.694695024690422,0.8390773339666013,0.4014259143977136,-1.3657931324120414,4.209753498819447,256,115.63066728805138,6.522769141930607e-22,2SLS_manual_aproximado
11,0.6298471474706366,1.7876703470557007,0.3523284639743547,0.7245919438344615,-2.3108705734359907,3.5705648683772644,255,114.81728689032359,8.87816819440074e-22,2SLS_manual_aproximado
12,-0.08428395894552224,2.1156633436867884,-0.03983807688355921,0.96822221935105,-3.564550159310289,3.3959822414192447,254,113.88337803600362,1.2575882495385805e-21,2SLS_manual_aproximado
