h,coef_iv,se_iv,t_iv,pvalor_iv,ci_low,ci_high,nobs,first_stage_f,first_stage_pvalue,metodo
0,0.8163384797520509,0.30543854928430497,2.672676653503208,0.007524874317051941,0.31389206617936916,1.3187848933247326,266,124.69513081963079,2.2177773916404807e-23,2SLS_manual_aproximado
1,1.6287720279383107,0.5435529652481604,2.9965286403960483,0.0027307258535004307,0.7346274001050868,2.5229166557715343,265,123.82012185880505,3.0763062992548577e-23,2SLS_manual_aproximado
2,1.6855480321058713,0.7088074904826949,2.378005388963963,0.017406571528997702,0.5195597102618383,2.8515363539499043,264,123.37263823964217,3.712163205790451e-23,2SLS_manual_aproximado
3,1.2078980825390289,0.7253534078450758,1.6652545772515581,0.09586197653618377,0.014691726633879076,2.401104438444179,263,123.18741915027286,4.1126764173263827e-23,2SLS_manual_aproximado
4,0.5945150795755073,0.7503980598352428,0.792266280254028,0.4282054287465027,-0.639889728853467,1.8289198880044815,262,122.59231206844275,5.2074367841709175e-23,2SLS_manual_aproximado
5,0.5461507473470549,0.7862837888522275,0.6945974915040469,0.4873075847429995,-0.7472860853148594,1.8395875800089692,261,120.99100476350006,9.155913832660725e-23,2SLS_manual_aproximado
6,0.4316654616304961,0.8734235443927624,0.4942223785948048,0.62114913689827,-1.0051162688955981,1.8684471921565902,260,119.80526770977022,1.4065097802570387e-22,2SLS_manual_aproximado
7,0.10747819632420665,0.9360909263534563,0.1148159791943376,0.9085909832536863,-1.432391377527229,1.6473477701756423,259,117.7952856942698,2.8336408472661167e-22,2SLS_manual_aproximado
8,0.09928159385843911,0.9503739628888357,0.10446581844125288,0.9167996927589064,-1.4640835750936956,1.6626467628105737,258,117.79566948247871,2.9509604985309536e-22,2SLS_manual_aproximado
9,-0.30355600710667047,0.9893949101041021,-0.30680975210872163,0.7589881849312231,-1.9311106342279185,1.3239986200145775,257,117.59274434261123,3.2859302852094816e-22,2SLS_manual_aproximado
10,-0.6555508603872151,1.116718391378777,-0.587033280232653,0.5571813555609291,-2.4925526142053034,1.1814508934308732,256,116.93175929234805,4.25243098715002e-22,2SLS_manual_aproximado
11,-0.9880981811200583,1.2815378839768194,-0.7710253387545827,0.4406919126334501,-3.0962280002619265,1.1200316380218096,255,116.14578064657778,5.733938730528472e-22,2SLS_manual_aproximado
12,-1.5549741578189613,1.4365604486648444,-1.0824286296230499,0.27906211255918323,-3.91811609587263,0.8081677802347078,254,115.1965913828036,8.158436602333591e-22,2SLS_manual_aproximado
