h,coef_iv,se_iv,t_iv,pvalor_iv,ci_low,ci_high,nobs,first_stage_f,first_stage_pvalue,metodo
0,0.2935421364861124,0.10842372529846356,2.707360733806774,0.006782051915739288,0.11518510837013982,0.4718991646020849,266,128.71903292798797,6.0246448367212374e-24,2SLS_manual_aproximado
1,0.5490853830732131,0.1960253881183561,2.8010932070782926,0.0050929806692486,0.2266236196185173,0.8715471465279089,265,127.70206182614214,8.73728293530711e-24,2SLS_manual_aproximado
2,0.6189994282097765,0.2483822132994424,2.49212461708572,0.012698147672049905,0.21041068733219376,1.0275881690873592,264,127.06774754175747,1.1201761157817218e-23,2SLS_manual_aproximado
3,0.49617934790966334,0.2559804477913734,1.938348620727683,0.05258070429116962,0.07509151129285407,0.9172671845264726,263,126.99540941199167,1.1982157922262626e-23,2SLS_manual_aproximado
4,0.37569985037242654,0.259191847839421,1.4495048879978145,0.14719663627953525,-0.05067073932342103,0.8020704400682741,262,126.23204588695748,1.601392159036793e-23,2SLS_manual_aproximado
5,0.4031208265876162,0.2914202930609119,1.383297032452565,0.16657380757597917,-0.07626555549758385,0.8825072086728163,261,124.78455836650835,2.669227870126415e-23,2SLS_manual_aproximado
6,0.3859594042680889,0.33654907949505275,1.1468146186795987,0.25145824607227374,-0.1676638315012729,0.9395826400374507,260,123.23440369524972,4.6031848614345094e-23,2SLS_manual_aproximado
7,0.3221494432319294,0.3643160652986494,0.8842581316523778,0.3765568840817488,-0.27715048418434884,0.9214493706482076,259,120.82529133396075,1.0509115331326437e-22,2SLS_manual_aproximado
8,0.3618055087174711,0.3716425935293749,0.9735307928015353,0.3302895637201707,-0.24954655763835065,0.9731575750732928,258,120.80421185001096,1.1038335458800014e-22,2SLS_manual_aproximado
9,0.23094075945192302,0.38284102387618446,0.6032288732113833,0.5463564423453888,-0.39883272482440035,0.8607142437282465,257,121.04556884945963,1.0649916125385241e-22,2SLS_manual_aproximado
10,0.1869010571423802,0.4063162619516266,0.459989113516287,0.6455240346268771,-0.4814891937680456,0.855291308052806,256,120.26614450946627,1.4316632556310753e-22,2SLS_manual_aproximado
11,0.12225909650635028,0.44228344272864994,0.27642702551123705,0.7822201017088903,-0.605297166782279,0.8498153597949795,255,119.56678289805798,1.8752640975783643e-22,2SLS_manual_aproximado
12,-0.041762831373951384,0.508986720063624,-0.08205092535367323,0.934606217365565,-0.8790459858786129,0.7955203231307101,254,118.87517509733075,2.4502165102223918e-22,2SLS_manual_aproximado
