h,nobs,first_stage_f,first_stage_pvalue,coef_instrumento,pvalor_instrumento,r2_first_stage
0,266,128.34596113758965,6.79409209403239e-24,0.5393701814204114,9.428819885456561e-30,0.6172715035562735
1,265,127.47305655493496,9.407080938646284e-24,0.5383759365248129,1.4637460989853007e-29,0.6169497169221273
2,264,127.08531306851441,1.1138483250339158e-23,0.5370285691702936,1.7795684132260802e-29,0.6169691653847821
3,263,126.74115459841583,1.3005017028042846e-23,0.5365949664919272,2.1165457915620704e-29,0.6163800051469981
4,262,126.2914490477835,1.5710303242153843e-23,0.5362454182107832,2.6548506775009093e-29,0.6167061884731622
5,261,124.50149002062862,2.924984358480736e-23,0.5347259165870971,6.542999469645452e-29,0.6155814052933426
6,260,123.50083378824898,4.222558706905314e-23,0.5379042565614593,1.083407325645877e-28,0.6164095614385803
7,259,121.60941663064231,8.141834435644296e-23,0.536451320644983,2.81064852752074e-28,0.6167777536582121
8,258,121.58918172219533,8.552869700933007e-23,0.536913214921567,2.8394619826288912e-28,0.6169024454682221
9,257,121.47627697385353,9.261165316204957e-23,0.5369813059126618,3.0057409855030148e-28,0.616761372229083
10,256,120.96075552403299,1.1427441394572231e-22,0.5363719174614325,3.897664566718687e-28,0.616708462515743
11,255,120.08303100775929,1.585815900331673e-22,0.5358523282269032,6.066750383467334e-28,0.6161672510661718
12,254,119.26613302231131,2.1578896679538473e-22,0.5355960219487748,9.158022907878619e-28,0.6156850543202197
