h,nobs,first_stage_f,first_stage_pvalue,coef_instrumento,pvalor_instrumento,r2_first_stage
0,266,124.69513081963079,2.2177773916404807e-23,0.5364785392479838,5.934662943025197e-29,0.6171575975722364
1,265,123.82012185880505,3.0763062992548577e-23,0.5352717299602863,9.223745195460318e-29,0.617125003416918
2,264,123.37263823964217,3.712163205790451e-23,0.5339735606868934,1.155715883804278e-28,0.6173606821301059
3,263,123.18741915027286,4.1126764173263827e-23,0.5334958074455329,1.26879673944373e-28,0.6168154929884018
4,262,122.59231206844275,5.2074367841709175e-23,0.5329677315702602,1.7125884810986786e-28,0.6170019450169577
5,261,120.99100476350006,9.155913832660725e-23,0.5319043635989166,3.8386851131757357e-28,0.6156235694040152
6,260,119.80526770977022,1.4065097802570387e-22,0.5346164416703589,6.978570469230264e-28,0.6161345311302939
7,259,117.7952856942698,2.8336408472661167e-22,0.5330720686784611,1.922397167613938e-27,0.6165368746654971
8,258,117.79566948247871,2.9509604985309536e-22,0.533531250792776,1.9220252262915693e-27,0.6166624524449253
9,257,117.59274434261123,3.2859302852094816e-22,0.5335501943629253,2.1290801425785128e-27,0.6165166344523796
10,256,116.93175929234805,4.25243098715002e-22,0.5328676428646089,2.9711670614807848e-27,0.6164877752789569
11,255,116.14578064657778,5.733938730528472e-22,0.5324651979246862,4.416116995789601e-27,0.6159009330505829
12,254,115.1965913828036,8.158436602333591e-22,0.5320994912933085,7.126999815236759e-27,0.6154547869686233
