h,coef,ci_low,ci_high
0,0.13537643504943445,0.10222644044408456,0.16852642965478432
1,0.2681598792934988,0.2062133931605786,0.330106365426419
2,0.3668195287150646,0.28027891605770966,0.4533601413724196
3,0.35256323589966165,0.23819333024965983,0.4669331415496635
4,0.37506942346496797,0.2525641463744729,0.49757470055546305
5,0.37118109048818393,0.21840273122571843,0.5239594497506495
6,0.36659569811884574,0.19303409933651836,0.5401572969011731
7,0.3364782148882862,0.17172570982245272,0.5012307199541197
8,0.32079324134545856,0.15930899182830877,0.48227749086260835
9,0.3030513478957908,0.1490168919696721,0.4570858038219095
10,0.33053392288157474,0.1644093186039615,0.496658527159188
11,0.2548444004423089,0.06805978950175595,0.4416290113828618
12,0.22865821936948305,0.049606399277721286,0.40771003946124484
13,0.2164813565830237,0.03904894641403722,0.3939137667520102
14,0.2196804281025544,0.03318041989611259,0.4061804363089962
15,0.2663446660948864,0.07360286392251475,0.459086468267258
16,0.29480472305499017,0.0990993714250692,0.49051007468491115
17,0.36654327486307064,0.16737013777825033,0.565716411947891
18,0.35945287513426655,0.1479019313372544,0.5710038189312787
19,0.3012503234724908,0.07617107765020814,0.5263295692947735
20,0.24970503935618615,0.008892649859339241,0.49051742885303307
21,0.1675321504518177,-0.10830023006777875,0.44336453097141415
22,0.17949247156164708,-0.08645155544153435,0.4454364985648285
23,0.22651720711078333,-0.07094419532039103,0.5239786095419576
24,0.09861904081787912,-0.21908429859711678,0.41632238023287504
