h,coef,ci_low,ci_high
0,-0.0016286741276907901,-0.004432678629978158,0.001175330374596578
1,0.0010516359521257888,-0.005199081324516318,0.0073023532287678945
2,0.0028897862058734907,-0.00686763492154756,0.01264720733329454
3,0.006304609066883527,-0.006550067384065988,0.019159285517833042
4,0.008709911221135803,-0.005863694046619244,0.02328351648889085
5,0.007534637423420135,-0.009267217227188422,0.024336492074028694
6,0.004934969289154498,-0.013857949720963826,0.023727888299272824
7,0.005779203559942798,-0.013865651485230938,0.025424058605116533
8,0.0076441467342852005,-0.012370939017081327,0.027659232485651726
9,0.009110451118264987,-0.01140990879087498,0.029630811027404953
10,0.007813727616788245,-0.013924755799981758,0.02955221103355825
11,0.005019670978586205,-0.018878448362625554,0.028917790319797965
12,0.002195736056006758,-0.024428575276599043,0.02882004738861256
13,0.00027524271375150514,-0.028338394383079602,0.02888887981058261
14,0.0005775272600570139,-0.027573275763789776,0.028728330283903807
15,0.0014072939361071313,-0.026112227424820406,0.028926815297034666
16,0.0007621288437225878,-0.02798688366237932,0.029511141349824497
17,0.0010135721556278742,-0.0283256587379849,0.030352803049240644
18,-0.0014311730481042016,-0.03016018700494238,0.027297840908733977
19,-0.0014716868130757257,-0.030668598384137335,0.027725224757985886
20,-0.0015812164648882755,-0.029694341524699335,0.02653190859492278
21,-0.0021809457840691344,-0.02925763680066175,0.024895745232523477
22,-0.002286866536754615,-0.02859790452282646,0.02402417144931723
23,-0.003355386759399932,-0.026794851972278926,0.020084078453479065
24,-0.0021910139014232437,-0.02420084809856457,0.019818820295718083
