h,coef,se,t,pvalor,ci_low,ci_high
0,-0.0039914305771689695,0.01438773761880801,-0.27741891622705656,0.7814584583757841,-0.027659258960108145,0.019676397805770206
1,0.04153765376607368,0.028622944786075688,1.4512012679520192,0.1467238239350163,-0.005547090407020831,0.08862239793916818
2,0.0562494265452674,0.0484255568917848,1.16156488754412,0.2454122516366286,-0.023410614541718604,0.1359094676322534
3,0.06520699748361425,0.059056523274872895,1.104145551882805,0.26953000410294636,-0.03194098330355166,0.16235497827078016
4,0.060608046951525926,0.063563001447095,0.9535114071347222,0.3403310193169351,-0.04395309042894534,0.16516918433199718
5,0.05412062294128986,0.07001955558297607,0.7729358247233472,0.4395603616761862,-0.061061545992705774,0.1693027918752855
6,0.015953043446419336,0.07298937570009693,0.21856665156266228,0.8269876328837346,-0.10411447958024013,0.1360205664730788
7,0.012252956079253963,0.08019843116639394,0.15278298965514425,0.8785694125231602,-0.11967346318946408,0.144179375347972
8,0.008924129910634439,0.08412648471299546,0.10607990980581032,0.915518950848117,-0.1294639374422431,0.14731219726351197
9,0.02898165322336361,0.08884783078928123,0.3261942690767416,0.7442773770918686,-0.11717302842500402,0.17513633487173122
10,0.03574816250754063,0.09514741013655194,0.3757134582668748,0.7071299314926331,-0.12076932716708733,0.19226565218216857
11,0.010114458358633803,0.09993513112907786,0.1012102375246779,0.9193835700818175,-0.15427883234869927,0.1745077490659669
12,-0.013339726099754708,0.10897383486863257,-0.12241219294370692,0.9025725825602146,-0.19260168445865528,0.16592223225914587
