h,coef,se,t,pvalor,ci_low,ci_high
0,0.17241666508119902,0.05195444126122264,3.3186126324466136,0.0009046583023620815,0.08695160920648777,0.2578817209559103
1,0.3881978344191313,0.10192651575235342,3.8086049695088104,0.0001397530174297624,0.22052871600650992,0.5558669528317527
2,0.4759909293103884,0.15374134792666408,3.096050189032036,0.0019611716345824745,0.22308641197102597,0.7288954466497508
3,0.4797816775425542,0.167210571422214,2.869326224184023,0.004113472972968002,0.2047202875530122,0.7548430675320962
4,0.4563880254073551,0.1823633149047499,2.5026306724339316,0.012327410918602278,0.15640037238904153,0.7563756784256688
5,0.4457286348077492,0.1918190094238601,2.3236937577069234,0.020141913269201926,0.13018636430549935,0.7612709053099991
6,0.3802549277238092,0.19796469400538122,1.9208219406712634,0.05475415940528995,0.054603006084957106,0.7059068493626612
7,0.3671289422606223,0.2330820002044981,1.5751063657361617,0.11523189494446802,-0.01629094807577708,0.7505488325970218
8,0.4311102315461057,0.24983311726265436,1.7255928127929943,0.08442069328016523,0.020134753649039272,0.8420857094431722
9,0.49644596773689914,0.2724075366937673,1.8224384455815896,0.06838848558584061,0.04833556987565191,0.9445563655981464
10,0.5525511461911294,0.28978264258300535,1.9067779259168591,0.0565493509839623,0.07585869914208565,1.0292435932401731
11,0.4434787249596925,0.29767887707458235,1.4897890280894217,0.1362797169444207,-0.04620302782799551,0.9331604777473805
12,0.35523590096104984,0.3047696805420083,1.165588060890084,0.24378103724798994,-0.1461102235305538,0.8565820254526535
