h,coef,se,t,pvalor,ci_low_90,ci_high_90,ci_low_95,ci_high_95
0,-0.0038364987588486938,0.013829261576772743,-0.27741891622705106,0.7814584583757882,-0.026585634052639855,0.01891263653494247,-0.03094185144932327,0.023268853931625883
1,0.039925323524492545,0.027511913341171635,1.4512012679519537,0.14672382393503444,-0.005331773921734798,0.08518242097071989,-0.013998026624203859,0.09384867367318894
2,0.05406604247641321,0.04654586502758532,1.1615648875441689,0.24541225163660874,-0.02250190549396465,0.13063399044679108,-0.037163852977654024,0.14529593793048046
3,0.06267591533348657,0.05676417862356157,1.104145551882806,0.2695300041029458,-0.030701158502272216,0.15605298916924537,-0.048581874768694105,0.17393370543566725
4,0.058255478182636426,0.06109573283207309,0.9535114071347118,0.3403310193169403,-0.04224700232612381,0.15875795869139667,-0.06149215816822683,0.17800311453349968
5,0.052019870752618366,0.06730166863624974,0.7729358247233656,0.4395603616761752,-0.05869137415401246,0.1627311156592492,-0.07989139977443112,0.18393114127966786
6,0.015333808317281344,0.07015621188160084,0.21856665156265068,0.8269876328837436,-0.10007316022795204,0.13074077686251473,-0.12217236697065631,0.152839983605219
7,0.011777343957621278,0.0770854398399013,0.15278298965513637,0.8785694125231664,-0.11502820457901636,0.13858289249425892,-0.13931011812858526,0.16286480604382783
8,0.00857772988005728,0.08086102161812983,0.10607990980581512,0.9155189508481132,-0.1244386506817663,0.14159411044188086,-0.1499098724914772,0.16706533225159176
9,0.027856698111403136,0.08539910339395623,0.32619426907677085,0.7442773770918464,-0.11262482697165487,0.16833822319446112,-0.13952554454075106,0.19523894076355736
10,0.03436055780997124,0.09145415756059067,0.3757134582668537,0.7071299314926487,-0.1160815313772004,0.18480264699714288,-0.14488959100878646,0.21361070662872894
11,0.009721854405106789,0.09605603783643282,0.10121023752469846,0.9193835700818012,-0.14829032783582521,0.16773403664603878,-0.17854797975430153,0.1979916885645151
12,-0.0128219297907437,0.10474389423478059,-0.12241219294371178,0.9025725825602107,-0.18512563580695776,0.15948177622547036,-0.21811996249091364,0.19247610290942624
