h,coef,se,t,pvalor,ci_low,ci_high,modelo,f_stat
0,-0.0038364987588488083,0.013829261576772322,-0.2774189162270678,0.7814584583757753,-0.026585634052639275,0.01891263653494166,LP-OLS (Kilian Controle),
1,0.03992532352449267,0.027511913341171212,1.4512012679519806,0.14672382393502703,-0.005331773921733972,0.08518242097071932,LP-OLS (Kilian Controle),
2,0.05406604247641372,0.04654586502758533,1.1615648875441797,0.2454122516366044,-0.02250190549396415,0.13063399044679158,LP-OLS (Kilian Controle),
3,0.06267591533348603,0.056764178623563664,1.1041455518827556,0.2695300041029677,-0.0307011585022762,0.15605298916924826,LP-OLS (Kilian Controle),
4,0.05825547818263595,0.06109573283207318,0.9535114071347026,0.340331019316945,-0.04224700232612444,0.15875795869139633,LP-OLS (Kilian Controle),
5,0.05201987075261664,0.06730166863625058,0.7729358247233304,0.43956036167619605,-0.05869137415401556,0.16273111565924883,LP-OLS (Kilian Controle),
6,0.01533380831728115,0.07015621188159929,0.21856665156265273,0.826987632883742,-0.10007316022794968,0.13074077686251198,LP-OLS (Kilian Controle),
7,0.011777343957621278,0.07708543983990064,0.1527829896551377,0.8785694125231653,-0.11502820457901528,0.13858289249425784,LP-OLS (Kilian Controle),
8,0.008577729880056669,0.08086102161812712,0.10607990980581113,0.9155189508481164,-0.12443865068176244,0.14159411044187578,LP-OLS (Kilian Controle),
9,0.02785669811140469,0.08539910339396534,0.3261942690767543,0.7442773770918589,-0.1126248269716683,0.16833822319447767,LP-OLS (Kilian Controle),
10,0.034360557809969404,0.09145415756057948,0.3757134582668795,0.7071299314926296,-0.11608153137718383,0.18480264699712265,LP-OLS (Kilian Controle),
11,0.00972185440510578,0.09605603783643928,0.10121023752468117,0.9193835700818149,-0.14829032783583682,0.16773403664604838,LP-OLS (Kilian Controle),
12,-0.012821929790746025,0.10474389423477787,-0.12241219294373715,0.9025725825601906,-0.18512563580695562,0.15948177622546356,LP-OLS (Kilian Controle),
