h,coef,ci_low,ci_high
0,0.0259271919151749,-0.005535962102249641,0.05739034593259944
1,0.03577424525682987,-0.012194416547730375,0.08374290706139012
2,0.04041476928198083,-0.022544983647214106,0.10337452221117577
3,0.05348675554856058,-0.014230289449137623,0.12120380054625879
4,0.062199304861984606,-0.01166263068515909,0.13606124040912831
5,0.0694490657144046,-0.012760815196327449,0.15165894662513663
6,0.08703593381314298,0.0037282103288346496,0.17034365729745132
7,0.09145861058045185,0.005296234239076755,0.17762098692182693
8,0.10530457853331338,0.026070790553141335,0.18453836651348543
9,0.10277206935137174,0.022165981324278453,0.18337815737846502
10,0.06328728321115408,-0.02707245723961743,0.1536470236619256
11,0.03926388119533493,-0.053978222927389866,0.13250598531805974
12,0.024692453722634792,-0.07249526695816758,0.12188017440343715
13,-0.00617215430620387,-0.1044912158291254,0.09214690721671767
14,0.007594390416689004,-0.08448507285377511,0.09967385368715313
15,0.01881301160787359,-0.07546496602369257,0.11309098923943975
16,0.02860282867034427,-0.07338478373628263,0.13059044107697115
17,0.062591932653824,-0.0423459032948056,0.1675297686024536
18,0.05396504605420069,-0.047115339000638426,0.1550454311090398
19,0.03548154140564266,-0.06297446211929716,0.13393754493058246
20,0.033478855042459045,-0.06272697655596163,0.12968468664087973
21,0.03280657871899331,-0.07608380863692435,0.14169696607491097
22,0.039084562277061294,-0.06890787295938823,0.14707699751351083
23,0.04580799484784153,-0.06006980488202034,0.1516857945777034
24,0.02311543199375481,-0.08831106068646224,0.13454192467397186
